"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel"
"13707","ldx",425,NA,-1.53571338502042,-1.02417615269848,-6.01642359709479,0.213017640126881,TRUE,1.00196405915481
"13708","ldx",426,NA,-1.06990342875349,-0.593839527574063,-4.9983840655448,0.227654117021494,TRUE,1.00034472079441
"13709","ldx",427,NA,-0.901042624259953,-0.427034234189163,-4.56359134197063,0.227287349006707,TRUE,1.00276277062667
"13710","ldx",428,NA,-1.0968630466599,-0.603086463633945,-5.03509151683925,0.223065228894943,TRUE,1.00029781170635
"13711","ldx",429,NA,-0.333742272768509,-0.033658034076221,-2.50883639567073,0.238703916759482,TRUE,1.00072564932976
"13712","ldx",430,NA,-0.294847550025358,-0.0265668432514169,-2.29785014197278,0.238414771146853,TRUE,1.00004312461252
"13713","ldx",431,NA,-0.294281467153088,-0.0265004434533517,-2.29303727406396,0.239672850957384,TRUE,1.00055375059544
"13714","ldx",432,NA,-0.427919416426253,-0.0840420750285824,-2.94061183853877,0.235517582554631,TRUE,1.00016071795694
"13715","ldx",433,NA,-0.392650166504624,-0.065658472657467,-2.8175962372644,0.238034706605129,TRUE,1.00031033219394
"13716","ldx",434,NA,-0.305396724220785,-0.0243133136207612,-2.43380491391114,0.23963462956451,TRUE,1.00107956593576
"13717","ldx",435,NA,-0.315274629053114,-0.0302613638057481,-2.43701766573839,0.239995013130558,TRUE,1.00045906259942
"13718","ldx",436,NA,-0.318180032330247,-0.0211815729548154,-2.54340887681797,0.24084423922679,TRUE,1.00035168710656
"13719","ldx",437,NA,-0.349183503282407,-0.0450264369233737,-2.63360752507429,0.237615376846753,TRUE,1.00132400690571
"13720","ldx",438,NA,-0.335060575315197,-0.0419323736954803,-2.58181514472832,0.236425771167433,TRUE,1.00257215345953
"13721","ldx",439,NA,-0.351067235378686,-0.0485750745895055,-2.60584920616697,0.239363065902692,TRUE,1.00026783034421
"13722","ldx",440,NA,-0.36844372496373,-0.0609000017943065,-2.73188906951277,0.238990987824105,TRUE,1.0012623272366
"13723","ldx",441,NA,-0.543461580829263,-0.157075022985489,-3.41564896373377,0.234551755061583,TRUE,1.00004796294078
"13724","ldx",442,NA,-0.403299292245049,-0.0738982652129931,-2.82869684063024,0.237280994562393,TRUE,1.00099800518989
"13725","ldx",443,NA,-0.314759763311854,-0.0315373266293998,-2.4077320651965,0.240426861365818,TRUE,1.0005156591845
"13726","ldx",444,NA,-0.421868714401754,-0.083685108497565,-2.93755917491046,0.23834841643466,TRUE,1.00052839730896
"13727","ldx",445,NA,-0.588421675115654,-0.189819117296807,-3.62245169626617,0.235012500791895,TRUE,1.00035712408618
"13728","ldx",446,NA,-0.361451374054551,-0.051233238103624,-2.63688373517462,0.2369166506015,TRUE,1.00030798845671
"13729","ldx",447,NA,-0.390101403435189,-0.0656043082949119,-2.79077637243908,0.237236532717781,TRUE,1.00128419380476
"13730","ldx",448,NA,-0.643091488670272,-0.228470585424177,-3.67412937077316,0.233026881594953,TRUE,1.00050650066877
"13731","ldx",449,NA,-0.361218358397982,-0.0588465763998545,-2.61470360995021,0.238544923294931,TRUE,1.00301766550759
"13732","ldx",450,NA,-1.44195545505267,-0.932456624441876,-5.92629016838144,0.214006580360712,TRUE,0.999940671605893
"13733","ldx",451,NA,-1.5524508480615,-1.01445341248147,-6.40041525016921,0.214346346940029,TRUE,0.999962318028388
"13734","ldx",452,NA,-0.840976355287286,-0.373813657883509,-4.4197216549145,0.228634849003326,TRUE,1.00009932408386
"13735","ldx",453,NA,-1.10280249895022,-0.586609338517888,-5.18274338738158,0.222783662824547,TRUE,1.00347818129869
"13736","ldx",454,NA,-0.609935887708281,-0.198234984248079,-3.5862306802332,0.233563877083311,TRUE,1.00112251808405
"13737","ldx",455,NA,-0.732684704132588,-0.272568399787724,-4.12393925297925,0.231618813485467,TRUE,1.00164542708589
"13738","ldx",456,NA,-0.36650099140107,-0.0500246497965824,-2.66315236971225,0.238021892912183,TRUE,1.00045303298484
"13739","ldx",457,NA,-0.331501880044145,-0.0480315498903223,-2.41949071770973,0.238975993088055,TRUE,1.00002288371679
"13740","ldx",458,NA,-0.3180277539059,-0.0297386234113638,-2.42960731301805,0.239343189476524,TRUE,1.0009382449841
"13741","ldx",459,NA,-9.60243633720238,-9.06247558431601,-19.4724778582914,-2.53930739675881,FALSE,1.00034718579564
"13742","ldx",460,NA,-0.309940948261732,-0.0247070354295225,-2.42339263972557,0.239656922736811,TRUE,1.00028753760106
"13743","ldx",461,NA,-0.371749681031449,-0.0497133616302171,-2.73209766508209,0.237876717690252,TRUE,1.00166220727658
"13744","ldx",462,NA,-0.51086762769389,-0.134530527816591,-3.26761135025795,0.234828929627838,TRUE,1.00012130868637
"13745","ldx",463,NA,-0.624941603259815,-0.20831058244141,-3.67669238344806,0.23360462946478,TRUE,1.00131789899748
"13746","ldx",464,NA,-0.354452662344436,-0.0523101164052515,-2.63460572207566,0.240224173673982,TRUE,1.00073349309531
"13747","ldx",465,NA,-0.482767217081789,-0.119415624604251,-3.20119152113597,0.23713831789464,TRUE,1.00160904398869
"13748","ldx",466,NA,-0.447366325103213,-0.0952160633102709,-3.11099959318106,0.237772673538283,TRUE,1.0000279474254
"13749","ldx",467,NA,-0.618717928883192,-0.20942895631433,-3.72331745100232,0.233659708890873,TRUE,0.999918691209116
"13750","ldx",468,NA,-0.371116567436858,-0.0672657115382561,-2.66431722008364,0.237892557076406,TRUE,1.00046256100287
"13751","ldx",469,NA,-0.876362287065303,-0.39724090142886,-4.44992066478296,0.225555385572121,TRUE,1.00000861848294
"13752","ldx",470,NA,-0.715907663919693,-0.283944819620664,-3.92461830869221,0.231579356253127,TRUE,1.00264268653848
"13753","ldx",471,NA,-4.55237238171554,-4.0492533296096,-11.6948650718644,-0.258284892525645,FALSE,1.00007231803291
"13754","ldx",472,NA,-0.306382045582841,-0.0314199141540249,-2.34645440756873,0.237630054145632,TRUE,1.00081080279095
"13755","ldx",473,NA,-0.538702778804136,-0.159166784080044,-3.35324332737739,0.234634806024483,TRUE,1.00033201094801
"13756","ldx",474,NA,-0.300834356977226,-0.0278872045959493,-2.35867085695578,0.239589459209601,TRUE,1.00226155348653
"13757","ldx",475,NA,-0.568660102291444,-0.183670289135965,-3.40020533075061,0.233930678186469,TRUE,1.00015465748004
"13758","ldx",476,NA,-0.311186077365919,-0.0288373330128053,-2.42239334074704,0.239800151860552,TRUE,1.000678281082
"13759","ldx",477,NA,-0.343035958068937,-0.0447566852653248,-2.54589858450441,0.23978436429158,TRUE,1.00129216975462
"13760","ldx",478,NA,-0.398063758383319,-0.0766761314258192,-2.82923586532395,0.236194864707315,TRUE,1.00327607918976
"13761","ldx",479,NA,-0.323555008914393,-0.0358004040181574,-2.54065052611765,0.239111712481395,TRUE,1.00029137233588
"13762","ldx",480,NA,-0.302528631901403,-0.0295635203435615,-2.34472776650011,0.239083332752788,TRUE,0.999916898740376
"13763","ldx",481,NA,-2.32230386591036,-1.80924674327941,-7.72586312128337,0.176019178875564,TRUE,1.00073766997774
"13764","ldx",482,NA,-0.737706273317638,-0.299357905442964,-4.13185343850598,0.22992120262931,TRUE,1.00050478800013
"13765","ldx",483,NA,-2.00650105758671,-1.51731566298206,-6.96582995583387,0.191032100473809,TRUE,1.00020380357117
"13766","ldx",484,NA,-0.767342791947237,-0.325693761617269,-4.11541375599328,0.230614809916668,TRUE,1.00002993475676
"13767","ldx",485,NA,-0.379696316973692,-0.063749158836044,-2.72129948617234,0.238746533156848,TRUE,1.00063471209514
"13768","ldx",486,NA,-0.344066592703653,-0.0418050472300499,-2.60402342872789,0.238544764159274,TRUE,1.00163248055168
"13769","ldx",487,NA,-0.290097348450343,-0.0266696966659683,-2.25974701128815,0.238842207134542,TRUE,1.00020082323871
"13770","ldx",488,NA,-0.804449224913564,-0.348363112056889,-4.31091598522881,0.229693135704881,TRUE,1.0001410348733
"13771","ldx",489,NA,-2.78583243877008,-2.22420561120611,-8.88880110694927,0.161053557885995,TRUE,1.00105561644863
"13772","ldx",490,NA,-0.340575880600099,-0.0447677280719762,-2.58358433929212,0.24029013176793,TRUE,1.00037966221931
"13773","ldx",491,NA,-2.32395338524938,-1.81818399403163,-7.95105187021879,0.176732745874236,TRUE,1.00092888770824
"13774","ldx",492,NA,-0.920031161128695,-0.412817500455687,-4.77392687356492,0.227541592587424,TRUE,0.999968154029091
"13775","ldx",493,NA,-0.800732623272159,-0.325287242138382,-4.32429379025348,0.230741610139065,TRUE,1.00055837429932
"13776","ldx",494,NA,-0.65448942081731,-0.232018474292206,-3.80501191872142,0.233127452141194,TRUE,1.00059303678408
"13777","ldx",495,NA,-1.12853043194227,-0.594035295062488,-5.39413528863271,0.223698582061105,TRUE,1.00315082018205
"13778","ldx",496,NA,-0.633347520074958,-0.216130086509845,-3.77434915045293,0.235098502642849,TRUE,1.00087672902011
"13779","ldx",497,NA,-0.528482797112863,-0.154289344622203,-3.32902364899811,0.23639433954729,TRUE,1.00152072743027
"13780","ldx",498,NA,-1.25105349954033,-0.753059518481213,-5.33627876050615,0.218448610933318,TRUE,1.00089296248182
"13781","ldx",499,NA,-1.86627306409777,-1.35473834271205,-6.77043819379852,0.200214263244848,TRUE,1.00015822444047
"13782","ldx",500,NA,-1.3987796485493,-0.898062631156779,-5.70456247553271,0.212742386651812,TRUE,1.00097427112815
"13783","ldx",501,NA,-1.89477307919135,-1.41837186740677,-6.70193203389421,0.198346350778024,TRUE,1.00015675650481
"13784","ldx",502,NA,-1.02340038088394,-0.505804932949544,-5.09490710986386,0.228695799610422,TRUE,1.00089152154587
"13785","ldx",503,NA,-0.333635374650029,-0.049802525970301,-2.48071153211461,0.239898613681794,TRUE,1.00000352498997
"13786","ldx",504,NA,-0.401517247967732,-0.0734979518568231,-2.86347918689549,0.237602079446136,TRUE,1.00073397720674
"13787","ldx",505,NA,-0.34672140837984,-0.0434925658549372,-2.58963581949417,0.238798199366776,TRUE,1.00029981358371
"13788","ldx",506,NA,-1.5147802310405,-0.932887447902358,-6.52850369345809,0.219361261109912,TRUE,1.00303937319101
"13789","ldx",507,NA,-0.340837515856067,-0.0477772792406641,-2.51742262345727,0.239567451980329,TRUE,1.00127657002508
"13790","ldx",508,NA,-0.396603021527311,-0.0694462951711898,-2.87988912206371,0.236916774631877,TRUE,0.999982131305664
"13791","ldx",509,NA,-0.752551855996804,-0.310880209763702,-4.08657884841699,0.229040211738597,TRUE,1.00282433961812
"13792","ldx",510,NA,-0.471689662507589,-0.10534276344669,-3.1974638710854,0.236131815049582,TRUE,1.00733077657818
"13793","ldx",511,NA,-0.487825205262592,-0.130001071985228,-3.25024915592731,0.236081036233354,TRUE,1.0008449737161
"13794","ldx",512,NA,-0.404450894613337,-0.0663774716088544,-2.92826239565727,0.238952915094746,TRUE,1.00463352433095
"13795","ldx",513,NA,-0.325124864183847,-0.0341226304689642,-2.5192446434507,0.239206800247206,TRUE,1.00031305727
"13796","ldx",514,NA,-0.520894210300778,-0.135724834953371,-3.33736642665569,0.235524892834901,TRUE,1.00015657111699
"13797","ldx",515,NA,-0.528936585276041,-0.134163182649285,-3.39803015061724,0.236972150959727,TRUE,1.00020734758483
"13798","ldx",516,NA,-2.10443705478094,-1.57343739556596,-7.37422767678519,0.195276458811971,TRUE,1.00069272345987
"13799","ldx",517,NA,-0.33286016996986,-0.0409147264067069,-2.47812308333633,0.239056930302292,TRUE,1.00038719386844
