"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
1988,2014,2014,1.802155615056,1.802155615056,0,0,70.1065,0.317675,0.784365416666667,0.103841829861111,6.98150458333334,8.1124712962963,24648.7226692,NA,1.7211419581964,628.216814741687,3,"Winter",5.35083097408214,2.25933311531086,17.5513705170227,9.64303008515769,4.07166986003943,31.6303009291809
1989,2014,2014,0,0,0,0,70.1065,0.31755,0.3643274375,0.100555434027778,-0.395525,6.46223159722222,24864.9488962374,NA,1.7211419581964,628.216814741687,3,"Winter",5.38407026592822,2.30748531133507,17.458359641198,0,0,0
1990,2014,2014,2.4626487854394,2.4626487854394,0,0,70.1065,0.317425,0.611069791666667,0.106329270833333,5.34425875,6.92210335648148,23437.628984,NA,1.7211419581964,628.216814741687,3,"Winter",5.41904053695162,2.44085081026119,17.3414276398995,13.3451935965708,6.0109582833285,42.7058457151838
1991,2014,2014,1.8268061002398,1.8268061002398,0.1099,0.1099,70.2164,0.3173,0.278570041666667,0.107127229166667,4.73367020833333,6.62385208333334,10847.2957404,NA,1.7211419581964,628.216814741687,3,"Winter",5.36337322539659,2.33918400775795,17.2274804264153,9.79784292601729,4.27323561495561,31.4712663347372
1992,2014,2014,2.2640383630206,2.2640383630206,0.1099,0.1099,70.3263,0.31795,0.202928925,0.101508961805556,2.581403125,6.63792824074074,17803.3581797,NA,1.7211419581964,628.216814741687,3,"Winter",5.27795503051816,2.19986919854476,17.1196859204884,11.9494926673907,4.98058825913272,38.7596256868494
1993,2014,2014,2.1024954552384,2.1024954552384,3.1871,3.1871,73.5134,0.3186,0.490891791666667,0.0997532048611111,2.47610520833333,5.96263865740741,25710.85330747,NA,1.7211419581964,628.216814741687,3,"Winter",5.13118716415801,1.84414161361061,16.9576489751088,10.7882976926198,3.87729936143231,35.6533799016943
1994,2014,2014,2.00644177871277,2.00644177871277,0,0,73.5134,0.31925,1.01215145833333,0.0928955694444444,9.328809375,7.21406898148148,25105.11670917,NA,1.7211419581964,628.216814741687,3,"Winter",5.2155344795524,2.01699967106049,16.7925409191826,10.4646662780909,4.04699240766569,33.6932556709917
1995,2014,2014,2.3927401676286,2.3927401676286,0,0,73.5134,0.3199,0.667187291666667,0.102121618055556,3.86643395833333,7.24861388888889,25831.92386577,NA,1.7211419581964,628.216814741687,3,"Winter",5.40599688356442,2.41618210952751,16.5904995009794,12.9351458893796,5.78129598577207,39.6967545570157
1996,2014,2014,2.5022739007962,2.5022739007962,0,0,73.5134,0.32055,0.528963625,0.0979083125,1.65540125,6.07100625,23968.113592809,NA,1.7211419581964,628.216814741687,3,"Winter",5.54466079525158,2.63718590990534,16.4159349018302,13.8742599967259,6.59896147390361,41.0771654620192
1997,2014,2014,2.53366543962,2.53366543962,0,0,73.5134,0.3212,1.010634375,0.100355420138889,9.01957520833333,7.72626164351852,25739.177992432,NA,1.7211419581964,628.216814741687,3,"Winter",5.64555877864206,2.78006220286436,16.2369545849893,14.3039571647887,7.04374752339127,41.1390106766668
1998,2014,2014,2.224905725088,2.224905725088,0,0,73.5134,0.32185,1.07758729166667,0.0931848541666667,10.2889691666667,10.0724076388889,26042.620666461,NA,1.7211419581964,628.216814741687,3,"Winter",5.74549261803951,2.91456884223041,16.1173013052314,12.7831794193269,6.48464090324155,35.8594759469777
1999,2014,2014,2.44443728205,2.44443728205,0,0,73.5134,0.3225,0.750315416666667,0.0927352847222222,6.50241270833333,9.63925925925926,25166.87189877,NA,1.7211419581964,628.216814741687,3,"Winter",5.8450300031627,3.05377087781016,15.9465929078701,14.2878092544317,7.4647513845577,38.9804462256717
