"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
3967,2020,2020,1.5581960838918,1.5581960838918,0,0,270.836515,0.4892375,1.39611704375,0.0861858692793996,16.82138625,15.5559604166667,21060.6011030121,NA,0.726337066748499,265.839366429951,8,"Summer",0.883068863207366,0.608438746569356,1.29061832288621,1.3759944444565,0.948066872192406,2.0110364165203
3968,2020,2020,1.43424669399426,1.43424669399426,0,0,270.836515,0.361625,1.69263109375,0.0848466536555681,17.9403108333333,15.1678766666667,24250.1385221599,0.8968743,0.726337066748499,265.839366429951,8,"Summer",0.909243367619581,0.62645122299807,1.34060221229883,1.30407929404459,0.898485595533643,1.92275429095099
3969,2020,2020,1.51989480942444,1.51989480942444,0,0,270.836515,0.2340125,1.6758282,0.0834595620525338,17.4367445833333,15.4331661458333,29793.0096523223,NA,0.726337066748499,265.839366429951,8,"Summer",0.899313596246164,0.627680863761379,1.33738555324518,1.36686206697937,0.954008886805969,2.03268536057658
3970,2020,2020,1.2049048998306,1.2049048998306,0,0,270.836515,0.1064,1.49585814291667,0.0822689003412582,17.2831008333333,15.6827090625,30093.661710556,NA,0.726337066748499,265.839366429951,8,"Summer",0.807996890434003,0.525791309821616,1.23867178034283,0.973559412331819,0.633528525492414,1.49248169741697
3971,2020,2020,0.74847879696978,0.74847879696978,0,0,270.836515,0.2213875,1.51288548354167,0.0812223745350947,17.933863125,16.2396126041667,21975.958882919,NA,0.726337066748499,265.839366429951,8,"Summer",0.714898888133543,0.406872789752624,1.15511654343783,0.535086659745227,0.304535656193782,0.864580240792235
3972,2020,2020,0.97239376405782,0.97239376405782,0,0,270.836515,0.336375,1.56046646875,0.0807281848448738,18.331104375,15.53689125,17454.9509762314,1.226517,0.726337066748499,265.839366429951,8,"Summer",0.682016355071718,0.421062813209026,1.09966332838493,0.663188450657182,0.409438853841099,1.06930576308457
3973,2020,2020,0.65826024717168,0.65826024717168,0,0,270.836515,0.4513625,1.27142036833333,0.0806590567275731,16.8118902083333,14.8609934375,14403.7928532297,NA,0.726337066748499,265.839366429951,8,"Summer",0.612855781076105,0.334404874958414,1.04071333620934,0.40341859793175,0.22012543564554,0.685060217928021
3974,2020,2020,0.73206407840472,0.73206407840472,0,0,270.836515,0.56635,1.17179552625,0.0807358682850807,16.1461164583333,14.4860423958333,17237.1382740198,NA,0.726337066748499,265.839366429951,8,"Summer",0.597422602491472,0.351962148093878,0.999051529466185,0.437351626911069,0.25765884557769,0.731369737197488
3975,2020,2020,0.51906729408498,0.51906729408498,0,0,270.836515,0.6813375,1.12827132458333,0.0803139390222109,15.706063125,15.5054767708333,23936.9426295159,NA,0.726337066748499,265.839366429951,8,"Summer",0.502734694842248,0.236295868953259,0.917128637454841,0.260953137694404,0.122653457301027,0.476051480171529
3976,2020,2020,0.9741635198082,0.9741635198082,3.06771,3.06771,273.904225,0.796325,1.132095758125,0.0800262187784937,15.7481541666667,15.1730371875,20637.7478821023,0.6497921,0.726337066748499,265.839366429951,8,"Summer",0.569028530152369,0.373797706927498,0.911376324814028,0.554326835804518,0.364140089876725,0.887829568450695
3977,2020,2020,0.4478696583966,0.4478696583966,1.09599,1.09599,275.000215,0.9113125,1.49190455625,0.0808914069396573,18.3309947916667,15.26284375,20757.6953172041,NA,0.726337066748499,265.839366429951,8,"Summer",0.404906727406744,0.184689286735305,0.78685518922625,0.181345437686144,0.0827167277596529,0.352408564806352
3978,2020,2020,0.6837868401588,0.6837868401588,0,0,275.000215,1.0263,1.43427535854167,0.0809304286097853,17.1559379375,15.4692941493056,18596.8681584095,NA,0.726337066748499,265.839366429951,8,"Summer",0.448824975659262,0.266307911337346,0.777052234045055,0.306900611890397,0.182097845202654,0.531338091756004
3979,2020,2020,0.6607140814998,0.6607140814998,0,0,275.000215,0.9096,1.40640971583333,0.0801886423027128,17.1392347916667,16.2710195138889,27767.820111017,NA,0.726337066748499,265.839366429951,8,"Summer",0.465679841935096,0.272171822181487,0.805340257308135,0.307681229037119,0.179827755502768,0.532099648402157
3980,2020,2020,0.5883327423036,0.5883327423036,12.6,12.6,287.600215,0.7929,1.46438731458333,0.0834777976162065,17.5611545833333,14.7336914583333,14919.6107243372,NA,0.726337066748499,265.839366429951,8,"Summer",0.477924995132409,0.273903510041592,0.846384657442454,0.281178923001685,0.161146403189351,0.497955806556812
3981,2020,2020,0.618596959896,0.618596959896,0,0,287.600215,0.6762,1.475902675,0.0899521487376323,17.9688816666667,14.4686395833333,20321.8576339821,NA,0.726337066748499,265.839366429951,8,"Summer",0.415153488250007,0.224060135883809,0.769507493153644,0.256812685721674,0.138602918891609,0.476014995882036
3982,2020,2020,0.66006773812098,0.66006773812098,0,0,287.600215,0.5595,1.31549535,0.0904340732053281,17.0988966666667,14.0896080555556,12978.9928455726,NA,0.726337066748499,265.839366429951,8,"Summer",0.518159916139196,0.305979065378081,0.873302486630527,0.342020643830955,0.201966909596482,0.57643879704564
3983,2020,2020,1.06287451446636,1.06287451446636,0.4,0.4,288.000215,0.4428,1.156398613125,0.0895802010709073,16.1883841666667,13.9902435416667,16613.7482431012,NA,0.726337066748499,265.839366429951,8,"Summer",0.563270703492358,0.365452671321091,0.897097799322963,0.598686075487565,0.388430330590839,0.953502387884235
3984,2020,2020,0.7572050865828,0.7572050865828,0.4,0.4,288.400215,0.3261,0.940647174375,0.0883757508776539,14.9789747916667,14.0688188888889,15335.4996874184,NA,0.726337066748499,265.839366429951,8,"Summer",0.601950557447379,0.364601796570123,0.973132856942836,0.455800023970507,0.276078334940124,0.736861149197968
3985,2020,2020,1.063991216052,1.063991216052,0,0,288.400215,0.2094,1.059139085,0.086920655313095,16.080093125,14.5624674305556,19579.925293466,NA,0.726337066748499,265.839366429951,8,"Summer",0.612359473894572,0.397593493974054,0.963124319848969,0.651545101290049,0.423035985147817,1.02475581628536
3986,2020,2020,0.82615809626172,0.82615809626172,3.1,3.1,291.500215,0.0927,1.03016777895833,0.0853783976459446,15.7860841666667,14.9467540277778,16831.732489112,NA,0.726337066748499,265.839366429951,8,"Summer",0.581519975451937,0.347873723604256,0.934842470980037,0.480427435857534,0.287398693232367,0.772327676129469
3987,2020,2020,1.266952925898,1.266952925898,1.1,1.1,292.600215,0.092625,0.828160907291667,0.0847138395744463,14.2702395833333,14.9119945138889,22319.8312144857,NA,0.726337066748499,265.839366429951,8,"Summer",0.600588650062786,0.392272854826975,0.926616149354958,0.760917547458177,0.496991241173397,1.1739790416096
3988,2020,2020,1.1275003082034,1.1275003082034,0,0,292.600215,0.09255,1.00157961583333,0.0842329220541028,14.21793,14.7085827083333,22910.1745768542,NA,0.726337066748499,265.839366429951,8,"Summer",0.742566155884159,0.49307661937601,1.13431534449841,0.837243569620803,0.555944040314342,1.2789409005218
